Metric_name_og,Metric,with_Nunu,Nunu_only,no_Nunu,raw_dif,perc_dif,with_rnd,without_rnd,raw_dif_rnd,ratio_rnd,As_x_rnd,raw_dif2,perc_dif2,raw_dif2_rnd,perc_dif2_rn
games,Games,70,10,60,,,,60,,,,,,,
Win_perc,Win rate,0.51576875,0.7,0.503486667,0.012282083,1.024394058,0.5158,0.5035,0.0123,1.0244,0.7,0.196513333,1.390304939,0.1965,1.3903
KDA,KDA,4.4225,6.03,4.315333333,0.107166667,1.024833926,4.4225,4.3153,0.1072,1.0248,6.03,1.714666667,1.397342809,1.7147,1.3973
KPAR,KPAR,0.621275,0.6886,0.616786667,0.004488333,1.007276962,0.6213,0.6168,0.0045,1.0073,0.6886,0.071813333,1.116431397,0.0718,1.1164
DPM,DPM,389.2225,336.56,392.7333333,-3.5108333,0.991060516,389.2225,392.7333,-3.5108,0.9911,336.56,-56.1733333,0.856968257,-56.1733,0.857
CSPM,CS/Minute,5.245,5.29,5.242,0.003,1.000572301,5.245,5.242,0.003,1.0006,5.29,0.048,1.00915681,0.048,1.0092
CS_at_10,CS @ 10,4.44,3.8,4.482666667,-0.042666667,0.990481856,4.44,4.4827,-0.0427,0.9905,3.8,-0.682666667,0.847709697,-0.6827,0.8477
Vision_Score_PM,Vision Score/Minute,1.24125,1.01,1.256666667,-0.015416667,0.987732095,1.2412,1.2567,-0.0154,0.9877,1.01,-0.246666667,0.803713528,-0.2467,0.8037
Enemy_JG_CS,Enemy Jungle Camp CS,9.343125,7,9.499333333,-0.156208333,0.983555864,9.3431,9.4993,-0.1562,0.9836,7,-2.499333333,0.736893817,-2.4993,0.7369
Lane_dif_10,Lane Diff @ 10,-466.641875,-92.9,-491.558,24.916125,0.949311933,-466.6419,-491.558,24.9161,0.9493,-92.9,398.658,0.188990923,398.658,0.189
