Metric_name_og,Metric,with_Jinx,Jinx_only,no_Jinx,raw_dif,perc_dif,with_rnd,without_rnd,raw_dif_rnd,ratio_rnd,As_x_rnd,raw_dif2,perc_dif2,raw_dif2_rnd,perc_dif2_rn
games,Games,61,15,46,,,,46,,,,,,,
Win_perc,Win rate,0.5342,0.7333,0.519978571,0.014221429,1.027350029,0.5342,0.52,0.0142,1.0274,0.7333,0.213321429,1.410250424,0.2133,1.4103
KDA,KDA,3.982,3.81,3.994285714,-0.012285714,0.996924177,3.982,3.9943,-0.0123,0.9969,3.81,-0.184285714,0.953862661,-0.1843,0.9539
KPAR,KPAR,0.483773333,0.6281,0.473464286,0.010309047,1.021773653,0.4838,0.4735,0.0103,1.0218,0.6281,0.154635714,1.326604812,0.1546,1.3266
DPM,DPM,508.4693333,675.62,496.53,11.9393333,1.024045543,508.4693,496.53,11.9393,1.024,675.62,179.09,1.360683141,179.09,1.3607
CSPM,CS/Minute,7.070666667,8.1,6.997142857,0.07352381,1.01050769,7.0707,6.9971,0.0735,1.0105,8.1,1.102857143,1.157615353,1.1029,1.1576
CS_at_10,CS @ 10,70.57466667,72.2,70.45857143,0.11609524,1.001647709,70.5747,70.4586,0.1161,1.0016,72.2,1.74142857,1.024715638,1.7414,1.0247
Vision_Score_PM,Vision Score/Minute,0.678,0.76,0.672142857,0.005857143,1.008714134,0.678,0.6721,0.0059,1.0087,0.76,0.087857143,1.130712009,0.0879,1.1307
Enemy_JG_CS,Enemy Jungle Camp CS,1.692666667,2.67,1.622857143,0.069809524,1.043016432,1.6927,1.6229,0.0698,1.043,2.67,1.047142857,1.645246479,1.0471,1.6452
Lane_dif_10,Lane Diff @ 10,-54.364,-525.4,-20.71857143,-33.64542857,2.623926084,-54.364,-20.7186,-33.6454,2.6239,-525.4,-504.6814286,25.35889126,-504.6814,25.3589
