champion,champ_role,games_total,role
Aatrox,Aatrox - Top,78,Top
Akali,Akali - Top,11,Top
Camille,Camille - Top,33,Top
Darius,Darius - Top,11,Top
Gangplank,Gangplank - Top,77,Top
Gnar,Gnar - Top,19,Top
Hecarim,Hecarim - Top,12,Top
Irelia,Irelia - Top,16,Top
Jax,Jax - Top,11,Top
Jayce,Jayce - Top,40,Top
Karma,Karma - Top,19,Top
Kayle,Kayle - Top,17,Top
Kennen,Kennen - Top,16,Top
Malphite,Malphite - Top,28,Top
Maokai,Maokai - Top,25,Top
Mordekaiser,Mordekaiser - Top,30,Top
Ornn,Ornn - Top,166,Top
Poppy,Poppy - Top,10,Top
Renekton,Renekton - Top,48,Top
Rumble,Rumble - Top,10,Top
Sett,Sett - Top,82,Top
Shen,Shen - Top,14,Top
Sylas,Sylas - Top,15,Top
Volibear,Volibear - Top,49,Top
Wukong,Wukong - Top,72,Top
Ekko,Ekko - Jung,14,Jung
Elise,Elise - Jung,12,Jung
Gragas,Gragas - Jung,28,Jung
Graves,Graves - Jung,151,Jung
Jarvan IV,Jarvan IV - Jung,119,Jung
Karthus,Karthus - Jung,15,Jung
Kayn,Kayn - Jung,10,Jung
KhaZix,KhaZix - Jung,13,Jung
Kindred,Kindred - Jung,100,Jung
Lee Sin,Lee Sin - Jung,91,Jung
Nidalee,Nidalee - Jung,32,Jung
Nocturne,Nocturne - Jung,24,Jung
Nunu & Willump,Nunu & Willump - Jung,12,Jung
Olaf,Olaf - Jung,68,Jung
RekSai,RekSai - Jung,25,Jung
Sejuani,Sejuani - Jung,40,Jung
Sett,Sett - Jung,12,Jung
Skarner,Skarner - Jung,14,Jung
Sylas,Sylas - Jung,10,Jung
Trundle,Trundle - Jung,123,Jung
Volibear,Volibear - Jung,31,Jung
Aurelion Sol,Aurelion Sol - Mid,15,Mid
Azir,Azir - Mid,119,Mid
Cassiopeia,Cassiopeia - Mid,26,Mid
Corki,Corki - Mid,57,Mid
Ekko,Ekko - Mid,12,Mid
Galio,Galio - Mid,57,Mid
Irelia,Irelia - Mid,13,Mid
Jayce,Jayce - Mid,10,Mid
Karma,Karma - Mid,57,Mid
Kassadin,Kassadin - Mid,15,Mid
Lulu,Lulu - Mid,10,Mid
Orianna,Orianna - Mid,104,Mid
Rumble,Rumble - Mid,24,Mid
Ryze,Ryze - Mid,17,Mid
Syndra,Syndra - Mid,126,Mid
Twisted Fate,Twisted Fate - Mid,28,Mid
VelKoz,VelKoz - Mid,14,Mid
Viktor,Viktor - Mid,17,Mid
Vladimir,Vladimir - Mid,11,Mid
Yasuo,Yasuo - Mid,19,Mid
Zoe,Zoe - Mid,65,Mid
Aphelios,Aphelios - ADC,212,ADC
Ashe,Ashe - ADC,79,ADC
Ezreal,Ezreal - ADC,207,ADC
Jhin,Jhin - ADC,19,ADC
Jinx,Jinx - ADC,18,ADC
KaiSa,KaiSa - ADC,24,ADC
Kalista,Kalista - ADC,82,ADC
KogMaw,KogMaw - ADC,10,ADC
Miss Fortune,Miss Fortune - ADC,57,ADC
Senna,Senna - ADC,46,ADC
Sivir,Sivir - ADC,14,ADC
Syndra,Syndra - ADC,15,ADC
Tristana,Tristana - ADC,21,ADC
Twitch,Twitch - ADC,11,ADC
Varus,Varus - ADC,69,ADC
Vayne,Vayne - ADC,16,ADC
Xayah,Xayah - ADC,15,ADC
Bard,Bard - Sup,52,Sup
Blitzcrank,Blitzcrank - Sup,31,Sup
Braum,Braum - Sup,56,Sup
Galio,Galio - Sup,15,Sup
Karma,Karma - Sup,71,Sup
Leona,Leona - Sup,30,Sup
Lulu,Lulu - Sup,64,Sup
Morgana,Morgana - Sup,45,Sup
Nautilus,Nautilus - Sup,137,Sup
Rakan,Rakan - Sup,36,Sup
Senna,Senna - Sup,26,Sup
Sett,Sett - Sup,50,Sup
Sona,Sona - Sup,34,Sup
Soraka,Soraka - Sup,21,Sup
Taric,Taric - Sup,17,Sup
Thresh,Thresh - Sup,156,Sup
Yuumi,Yuumi - Sup,74,Sup
